id,Cellline,Smadtype,Targetedgenes
344,A2780,Smad 4,KIAA1713
345,A2780,Smad 4,HTR1A
346,A2780,Smad 4,LOC375449
347,A2780,Smad 4,SCHIP1
348,A2780,Smad 4,CAMTA1
349,A2780,Smad 4,FBN1
350,A2780,Smad 4,SLC24A3
351,A2780,Smad 4,DGKG
352,A2780,Smad 4,GARNL3
353,A2780,Smad 4,THBS1
354,A2780,Smad 4,CRH
355,A2780,Smad 4,SPATA18
356,A2780,Smad 4,SRGAP2
357,A2780,Smad 4,ChGn
358,A2780,Smad 4,ACTL8
359,A2780,Smad 4,CAST1
360,A2780,Smad 4,DPT
361,A2780,Smad 4,NFIA
362,A2780,Smad 4,FBXL17
363,A2780,Smad 4,GABRQ
364,A2780,Smad 4,FLJ35530
365,A2780,Smad 4,SCIN
366,A2780,Smad 4,GPC3
367,A2780,Smad 4,TRPM3
368,A2780,Smad 4,KIAA0960
369,A2780,Smad 4,ARHGEF7
370,A2780,Smad 4,LRRC17
371,A2780,Smad 4,CALB1
372,A2780,Smad 4,PHKB
373,A2780,Smad 4,TNS1
374,A2780,Smad 4,CDH8
375,A2780,Smad 4,SUSD4
376,A2780,Smad 4,ARHGAP15
377,A2780,Smad 4,LRRC4C
378,A2780,Smad 4,SH3D19
379,A2780,Smad 4,PRRX1
380,A2780,Smad 4,RIMS1
381,A2780,Smad 4,TMEM74
382,A2780,Smad 4,CACNB2
383,A2780,Smad 4,CYP21A2
384,A2780,Smad 4,C14orf49
385,A2780,Smad 4,FANK1
386,A2780,Smad 4,GRID1
387,A2780,Smad 4,KIF6
388,A2780,Smad 4,DMBX1
389,A2780,Smad 4,LAMB1
390,A2780,Smad 4,ZUBR1
391,A2780,Smad 4,PACS1
392,A2780,Smad 4,GNAO1
393,A2780,Smad 4,MAGEC3
394,A2780,Smad 4,PCSK2
395,A2780,Smad 4,FCRL4
396,A2780,Smad 4,BNC2
397,A2780,Smad 4,DPYS
398,A2780,Smad 4,UNC5D
399,A2780,Smad 4,RELN
400,A2780,Smad 4,EFCAB4B
401,A2780,Smad 4,CHES1
402,A2780,Smad 4,GPR133
403,A2780,Smad 4,LOC401097
404,A2780,Smad 4,TMEM23
405,A2780,Smad 4,RBMS3
406,A2780,Smad 4,DAB2IP
407,A2780,Smad 4,SEC22B
408,A2780,Smad 4,UBE3B
409,A2780,Smad 4,FAM9B
410,A2780,Smad 4,PTGS2
411,A2780,Smad 4,GIMAP8
412,A2780,Smad 4,SUFU
413,A2780,Smad 4,SOX5
414,A2780,Smad 4,STK35
415,A2780,Smad 4,SIPA1L2
416,A2780,Smad 4,AGTR2
417,A2780,Smad 4,TMEM125
418,A2780,Smad 4,AHI1
419,A2780,Smad 4,DST
420,A2780,Smad 4,LMO3
421,A2780,Smad 4,ADAMTS9
422,A2780,Smad 4,GABRB3
423,A2780,Smad 4,SKIP
424,A2780,Smad 4,SLAMF7
425,A2780,Smad 4,RLTPR
426,A2780,Smad 4,TBCA
427,A2780,Smad 4,HIVEP3
428,A2780,Smad 4,STAU2
429,A2780,Smad 4,PTHB1
430,A2780,Smad 4,TNS4
431,A2780,Smad 4,OGN
432,A2780,Smad 4,DOCK1
433,A2780,Smad 4,TNIK
434,A2780,Smad 4,C9orf66
435,A2780,Smad 4,MEIS2
436,A2780,Smad 4,PKIB
437,A2780,Smad 4,PTPRM
438,A2780,Smad 4,ETV6
439,A2780,Smad 4,ELL2
440,A2780,Smad 4,FAM45A
441,A2780,Smad 4,LDHAL6A
442,A2780,Smad 4,MAML2
443,A2780,Smad 4,SLC26A11
444,A2780,Smad 4,RAD51L1
445,A2780,Smad 4,UTX
446,A2780,Smad 4,LMX1A
447,A2780,Smad 4,CSMD1
448,A2780,Smad 4,FAM19A1
449,A2780,Smad 4,DSCAML1
450,A2780,Smad 4,TBX18
451,A2780,Smad 4,FRY
452,A2780,Smad 4,RNF144
453,A2780,Smad 4,PADI1
454,A2780,Smad 4,TLE3
455,A2780,Smad 4,HTR4
456,A2780,Smad 4,COX10
457,A2780,Smad 4,LRIG2
458,A2780,Smad 4,SNRPE
459,A2780,Smad 4,SHROOM2
460,A2780,Smad 4,KCNJ12
461,A2780,Smad 4,MYO1D
462,A2780,Smad 4,DIP2B
463,A2780,Smad 4,FGF12
464,A2780,Smad 4,PTPDC1
465,A2780,Smad 4,HYDIN
466,A2780,Smad 4,LIN7A
467,A2780,Smad 4,NRP2
468,A2780,Smad 4,GLIS1
